Item ID,Item Name,Category,Sub-Category,Quantity,Status,Location,Value (₹),Added Date,Notes
EC-092,Pulse/Heartbeat Sensor,Electronics,Sensors,1,Available,Embedded Soldering station - Behind Pillar - 2nd row - Sensor Box,250,2026-02-20,HW-827 pulse sensor with photoplethysmography (PPG) - Detects heartbeat via blood volume changes - Analog output - LED and light sensor - For heart rate monitoring and biomedical projects
EC-093,MAX30100 Pulse Oximetry & Heart-Rate Sensor Modules,Electronics,Sensors,4,Available,Embedded Soldering station - Behind Pillar - 2nd row - Sensor Box,800,2026-02-20,MAX30100 pulse oximeter and heart rate sensor - Measures SpO2 (blood oxygen) and heart rate - I2C interface - IR and Red LED - For health monitoring
EC-094,12V Battery Level Indicator Modules,Electronics,Power,2,Available,Embedded Soldering station - Behind Pillar - 2nd row - Sensor Box,120,2026-02-20,12V battery charge level indicator - 4 LED display (typically red
EC-095,Rain Drop Detection Sensor Modules,Electronics,Sensors,7,Available,Embedded Soldering station - Behind Pillar - 2nd row - Sensor Box,350,2026-02-20,YL-83 rain drop detection sensors - Conductive sensing plate detects water/rain - LM393 comparator module - Analog and digital output - For weather monitoring
EC-096,Gas Sensor Modules,Electronics,Sensors,6,Available,Embedded Soldering station - Behind Pillar - 2nd row - Sensor Box,900,2026-02-20,MQ series gas detection sensors - Detects smoke
EC-097,PIR Motion Sensors,Electronics,Sensors,5,Available,Embedded Soldering station - Behind Pillar - 2nd row - Sensor Box,600,2026-02-20,HC-SR501 PIR motion detection sensors - Passive Infrared sensor detects human/animal movement - Adjustable sensitivity and delay - 3-7m detection range - For security systems
EC-098,E3JK-5DM1-5L Photoelectric Sensor,Electronics,Sensors,1,Available,Embedded Soldering station - Behind Pillar - 2nd row - Sensor Box,1200,2026-02-20,Industrial photoelectric proximity sensor - 5 meter detection range - Gate safety photocell - Garage door protection - Through-beam or reflective type - NPN/PNP output - 12-24V DC operation
EC-099,433MHz RF Transmitter & Receiver Modules,Electronics,Wireless,20,Available,Embedded Soldering station - Behind Pillar - 2nd row - Sensor Box,1000,2026-02-20,433MHz RF wireless communication modules - Includes transmitter (TX) and receiver (RX) pair - ASK/OOK modulation - Up to 100m range (with antenna) - For remote control
EC-100,MAX30205 Breakout Boards,Electronics,Sensors,2,Available,Embedded Soldering station - Behind Pillar - 2nd row - Sensor Box,600,2026-02-20,ProtoCentral MAX30205 human body temperature sensor breakout - ±0.1°C accuracy - I2C interface - 16-bit resolution - 0°C to +50°C range - For medical thermometers
EC-101,Sharp IR Proximity Sensor GP2Y0A02YK0F,Electronics,Sensors,2,Available,Embedded Soldering station - Behind Pillar - 2nd row - Sensor Box,800,2026-02-20,Sharp GP2Y0A02YK0F infrared distance measurement sensor - 20cm to 150cm detection range - Analog output - Triangulation-based measurement - High precision - For robotics
EC-102,Pulse 3+ Pulse-Ox & Heart Rate Sensor (MAX30102),Electronics,Sensors,1,Available,Embedded Soldering station - Behind Pillar - 2nd row - Sensor Box,450,2026-02-20,ProtoCentral Pulse 3+ pulse oximeter and heart rate sensor - MAX30102 based - QWIIC compatible I2C interface - SpO2 and HR monitoring - Finger strap design - For medical wearables and health monitoring
EC-103,Optical Rotary Encoders,Electronics,Sensors,4,Available,Embedded Soldering station - Behind Pillar - 2nd row - Sensor Box,2400,2026-02-20,Industrial optical rotary encoders - Eorange brand - Shaft type with mounting hardware - A/B quadrature output - Includes pull-up resistors and cable - For position feedback
EC-104,Optical Proximity Switches,Electronics,Sensors,5,Available,Embedded Soldering station - Behind Pillar - 2nd row - Sensor Box,1500,2026-02-20,Industrial optical proximity switches - Threaded metal housing M12/M18 - NPN/PNP output - 3-wire configuration - Object detection without contact - For automation
EC-105,RFID NSK 125KHz Reader Module,Electronics,Sensors,1,Available,Embedded Soldering station - Behind Pillar - 2nd row - Sensor Box,400,2026-02-20,NSK Electronics 125KHz RFID reader module - Integrated coil antenna - UART/TTL output - Reads EM4100 compatible cards and tags - For access control
EC-106,TCS3200 Color Recognition Sensor,Electronics,Sensors,1,Available,Embedded Soldering station - Behind Pillar - 2nd row - Sensor Box,200,2026-02-20,TCS3200 color light-to-frequency converter - Detects RGB color values - 4 white LEDs for illumination - Frequency output proportional to color intensity - For color sorting
EC-107,High Speed RF Pro Wireless Module,Electronics,Wireless,1,Available,Embedded Soldering station - Behind Pillar - 2nd row - Sensor Box,800,2026-02-20,High-speed RF Pro wireless communication module - High data rate wireless transmission - Breakout board with antenna - For wireless data links
EC-108,PCF8591 A/D D/A Converter Module,Electronics,Interface,1,Available,Embedded Soldering station - Behind Pillar - 2nd row - Sensor Box,150,2026-02-20,PCF8591 8-bit ADC/DAC module - 4 analog inputs (AIN0-AIN3) - 1 analog output (AOUT) - I2C interface - Includes potentiometer and LDR on board - For analog sensor reading and analog output generation
EC-109,I2C Serial Interface Adapter Module,Electronics,Interface,1,Available,Embedded Soldering station - Behind Pillar - 2nd row - Sensor Box,80,2026-02-20,PCF8574 I2C to parallel interface adapter - For 1602 and 2004 LCD displays - Reduces LCD connections from 6+ pins to just 2 (SDA/SCL) - Includes contrast potentiometer - I2C address configurable
EC-110,Raspberry Pi Camera Module V2,Electronics,Sensors,1,Available,Embedded Soldering station - Behind Pillar - 2nd row - Sensor Box,1500,2026-02-20,Official Raspberry Pi Camera Module V2 - 8MP Sony IMX219 sensor - CSI ribbon cable interface - 1080p30 video and 3280x2464 still images - Fixed focus lens - For Raspberry Pi computer vision projects
EC-111,USB Safety Tester,Electronics,Tools,1,Available,Embedded Soldering station - Behind Pillar - 2nd row - Sensor Box,400,2026-02-20,USB power meter and safety tester - Measures voltage (V)
EC-112,KWS-V20 USB Current Voltmeter,Electronics,Tools,1,Available,Embedded Soldering station - Behind Pillar - 2nd row - Sensor Box,350,2026-02-20,KWS-V20 USB power meter and voltmeter - Measures voltage (3-9V)
